old_file,language,has_audio,proposed_title,proposed_base_slug,proposed_main,proposed_mobile,proposed_preview,proposed_poster,seo_keywords,transcript_excerpt
Adds marketing.MP4,es,yes,¿Tienes un negocio y quieres vender más,ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mp4,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson",¿Tienes un negocio y quieres vender más? Hacer anuncios y tener unas redes sociales bonitas no basta. Si tienes una marca personal o una empresa podemos llevarte a facturar a otro nivel. Somos tu team y realizamos todo e
Contenido Tik Tok.MP4,es,yes,Contenido Tik Tok,ugc-es-social-tiktok-content-demo,ugc-es-social-tiktok-content-demo.mp4,ugc-es-social-tiktok-content-demo-mobile.mp4,ugc-es-social-tiktok-content-demo-preview.mp4,ugc-es-social-tiktok-content-demo-poster.jpg,"ugc, tiktok, contenido social, engagement","Esto que voy a decir, yo sé que no las va a caer muy bien a muchos de mis compatriotas paisas. Ustedes saben que nosotros los paisas nos creemos pueblos más formales, buena gente, servicios del mundo entero, y nos llenam"
Croma Key.MP4,es,yes,Croma Key,ugc-es-tech-croma-key-demo,ugc-es-tech-croma-key-demo.mp4,ugc-es-tech-croma-key-demo-mobile.mp4,ugc-es-tech-croma-key-demo-preview.mp4,ugc-es-tech-croma-key-demo-poster.jpg,"tecnologia, croma key, video explicativo, ugc","Pegar stickers lo hace cualquiera, pero convertir su carro en una gran pieza publicitaria solo lo pueden hacer diseñadores profesionales. En rap and lettering tenemos todos los conocimientos y la experiencia para rotular"
Croma key plano cerrado.MP4,es,yes,Croma key plano cerrado,ugc-es-tech-croma-key-demo,ugc-es-tech-croma-key-demo.mp4,ugc-es-tech-croma-key-demo-mobile.mp4,ugc-es-tech-croma-key-demo-preview.mp4,ugc-es-tech-croma-key-demo-poster.jpg,"tecnologia, croma key, video explicativo, ugc","Hola Calgary, conociendo al restaurante latino en la ciudad, hoy visitamos Parceros Street Food, un restaurante colombiano famoso por tener la mejor bandeja paisa de Canadá en su menú. Nos encontramos con una variedad in"
Croma key sobrepuesto.MP4,es,yes,"Mil y hasta 50 mil dólares, que es lo máximo por persona",ugc-es-tech-croma-key-demo,ugc-es-tech-croma-key-demo.mp4,ugc-es-tech-croma-key-demo-mobile.mp4,ugc-es-tech-croma-key-demo-preview.mp4,ugc-es-tech-croma-key-demo-poster.jpg,"tecnologia, croma key, video explicativo, ugc","mil y hasta 50 mil dólares, que es lo máximo por persona. Lo mejor es que usted no tiene que regresar este dinero, ya que es parte de los 200 millones de dólares fundados para este programa. Ojo, ya sólo faltan 50 millon"
DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7.MOV,es,yes,Hola a todos los amantes de la música,ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mov,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","Hola a todos los amantes de la música. Estamos emocionados de presentarles la nueva visa Bish TV, el epicentro de la entretenimiento musical en Ibiza. ¿Quieres invertir en bienes raíces en Estados Unidos, pero no sabes p"
Detrás de cámaras.MP4,es,yes,"Muy buenas tardes amigos de 1 minuto 30, un saludo muy especial para todos ustedes",ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mp4,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","Muy buenas tardes amigos de 1 minuto 30, un saludo muy especial para todos ustedes. Le damos la bienvenida, se avanza informativo porque vamos a contarles los hechos noticiosos más importantes de este miércoles 10 de ago"
IMG_5793.MOV,es,yes,"Les quiero mostrar cómo es de fácil hablar con un voicebot de Calbotia, porque acá e",ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mov,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","Les quiero mostrar cómo es de fácil hablar con un voicebot de Calbotia, porque acá en la página puedo hacer una demo. Miren pues. Hola, usted se ha comunicado con Valle Automotores. Puedes decirme su nombre. Hola, mi nom"
IMG_8435.MOV,es,yes,¿Cuántos clientes te escriben por WhatsApp y no reciben respuesta a tiempo,ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mov,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","¿Cuántos clientes te escriben por WhatsApp y no reciben respuesta a tiempo? Con nuestro WhatsApp bot atiendes las 24 horas, respondes al instante y conviertes consultas en ventas de forma automática, más velocidad, mejor"
Reporte noticioso USA.MP4,es,yes,Reporte noticioso USA,ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mp4,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","A escasos días de las elecciones presidenciales en Colombia, los dos candidatos tendrán que enfrentarse en un debate exigido por el Tribunal Superior de Bogotá tras atender una acción de tutela ciudadana. ¿Qué va a pasar"
WhatsApp Video 2026-02-13 at 00.02.34.mp4,es,yes,Hoy les quiero hacer una demostración cómo es una conversación real con un voice poe,ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mp4,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","Hoy les quiero hacer una demostración cómo es una conversación real con un voice poet de Calvotea. Hola, usted se ha comunicado con la clínica dental del doctor Araujo. Dime, ¿cómo te llamas? Hola, me llamo Gisela. Hola "
WhatsApp Video 2026-02-13 at 00.39.53.mp4,es,yes,Tez ni soñaba con tomar bien día libre sin estar pendiente del teléfono,ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mp4,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","Tez ni soñaba con tomar bien día libre sin estar pendiente del teléfono. Ahora con los Voice Bots de Calbotia puede estar acá, disfrutando la brisa y el mar tranquila. Mientras yo descanso, una gente inteligente de Calbo"
WhatsApp Video 2026-02-13 at 00.42.58.mp4,es,yes,Me encanta como el método Powerful Abdomen combina movimientos tan simples con resul,ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mp4,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson",Me encanta como el método Powerful Abdomen combina movimientos tan simples con resultados tan eficientes. Ahora siento que tengo el control de mi cuerpo y mi energía hasta al máximo. Es perfecto para cualquier mujer ocup
WhatsApp Video 2026-02-19 at 14.08.01.mp4,es,yes,"Hola, mi nombre es Susan, representante de MPG",ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mp4,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","Hola, mi nombre es Susan, representante de MPG. Vendemos terrenos en Pensilvania y oíso hablando sobre uno de nuestros lotes. Un lote de 0.29 acres en Poconocontriplays, en Colvapiay. Con comodidades como lagos, piscinas"
WhatsApp Video 2026-02-19 at 14.09.00.mp4,es,yes,Hoy es la fiesta de cumpleaños de mi suegra y adivinen que no le había comprado el r,ugc-es-spokesperson-marketing-ad-demo,ugc-es-spokesperson-marketing-ad-demo.mp4,ugc-es-spokesperson-marketing-ad-demo-mobile.mp4,ugc-es-spokesperson-marketing-ad-demo-preview.mp4,ugc-es-spokesperson-marketing-ad-demo-poster.jpg,"ugc, marketing, anuncio, spokesperson","Hoy es la fiesta de cumpleaños de mi suegra y adivinen que no le había comprado el regalo. Menos mal existe en que es una plataforma inteligente que conecta negocios con domiciliarios cercanos. Les escribí por whatsapp, "
WhatsApp Video 2026-02-19 at 16.05.21.mp4,es,yes,¿Quieres usar más de una cuenta de WhatsApp en un solo teléfono,ugc-es-cuenta-whatsapp-usar,ugc-es-cuenta-whatsapp-usar.mp4,ugc-es-cuenta-whatsapp-usar-mobile.mp4,ugc-es-cuenta-whatsapp-usar-preview.mp4,ugc-es-cuenta-whatsapp-usar-poster.jpg,"ugc, cuenta, whatsapp, usar",¿Quieres usar más de una cuenta de WhatsApp en un solo teléfono? Ahora esto es posible con esta aplicación. Descarga la hora y elige un número virtual para tu segunda cuenta de WhatsApp y empieza a usar tu segunda cuenta
