old_file,language,has_audio,proposed_base_slug,proposed_main,proposed_mobile,proposed_preview,proposed_poster,seo_keywords,transcript_excerpt
ugc-ai-services-review.mp4,es,yes,ugc-es-saas-ai-automation-bot-review,ugc-es-saas-ai-automation-bot-review.mp4,ugc-es-saas-ai-automation-bot-review-mobile.mp4,ugc-es-saas-ai-automation-bot-review-preview.mp4,ugc-es-saas-ai-automation-bot-review-poster.jpg,"ugc, saas, ai, product demo, automation","Mientras trabajo tranquila, en este café mi negocio sigue el movimiento. Desde que Calvotea atiende a mis clientes, yo me enfoco en la estrategia. El agenda bot gestiona citas. El "
ugc-brand-spokesperson.mp4,es,yes,ugc-es-spokesperson-agenda-bot-brand-image,ugc-es-spokesperson-agenda-bot-brand-image.mp4,ugc-es-spokesperson-agenda-bot-brand-image-mobile.mp4,ugc-es-spokesperson-agenda-bot-brand-image-preview.mp4,ugc-es-spokesperson-agenda-bot-brand-image-poster.jpg,"ugc, spokesperson video, brand image, b2b",Su agenda también transmite la imagen de su empresa. El desorden genera una mala experiencia desde el primer contacto. Agenda BOT utiliza plantillas personalizadas con la imagen de
ugc-business-promotion.mp4,es,yes,ugc-es-real-estate-miami-investment-promo,ugc-es-real-estate-miami-investment-promo.mp4,ugc-es-real-estate-miami-investment-promo-mobile.mp4,ugc-es-real-estate-miami-investment-promo-preview.mp4,ugc-es-real-estate-miami-investment-promo-poster.jpg,"ugc, promotion, real estate, miami, spokesperson","Quieres invertir en bienes raíces en Estados Unidos, pero no sabes por dónde empezar. En InterMiami, Real Estate, tenemos las mejores inversiones para ti y tu cartera. Con una ampl"
ugc-clothing-showcase-1.mp4,none,no,ugc-es-fashion-lifestyle-brand-ambassador-broll-01,ugc-es-fashion-lifestyle-brand-ambassador-broll-01.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-01-mobile.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-01-preview.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-01-poster.jpg,"ugc, fashion lifestyle, brand ambassador, b-roll",
ugc-clothing-showcase-2.mp4,none,no,ugc-es-fashion-lifestyle-brand-ambassador-broll-02,ugc-es-fashion-lifestyle-brand-ambassador-broll-02.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-02-mobile.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-02-preview.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-02-poster.jpg,"ugc, fashion lifestyle, brand ambassador, b-roll",
ugc-clothing-showcase-3.mp4,none,no,ugc-es-fashion-lifestyle-brand-ambassador-broll-03,ugc-es-fashion-lifestyle-brand-ambassador-broll-03.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-03-mobile.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-03-preview.mp4,ugc-es-fashion-lifestyle-brand-ambassador-broll-03-poster.jpg,"ugc, fashion lifestyle, brand ambassador, b-roll",
ugc-creatine-supplement-review.mp4,es,yes,ugc-es-beauty-wellness-creatine-collagen-review,ugc-es-beauty-wellness-creatine-collagen-review.mp4,ugc-es-beauty-wellness-creatine-collagen-review-mobile.mp4,ugc-es-beauty-wellness-creatine-collagen-review-preview.mp4,ugc-es-beauty-wellness-creatine-collagen-review-poster.jpg,"ugc, testimonial, beauty wellness, skincare-adjacent","Yo no tomaba creatina porque pensaba que me iba a inflar o que era sólo para hombres. Prove curbela y fue todo lo contrario. Noté más energía para entrenar, para el día a día y el "
ugc-lifestyle-review-2.mp4,es,yes,ugc-es-lifestyle-perfume-fragrance-review,ugc-es-lifestyle-perfume-fragrance-review.mp4,ugc-es-lifestyle-perfume-fragrance-review-mobile.mp4,ugc-es-lifestyle-perfume-fragrance-review-preview.mp4,ugc-es-lifestyle-perfume-fragrance-review-poster.jpg,"ugc, lifestyle, product review, social media video","Entre el tráfico, el café que se me cae y las reuniones interminables, ¿saben cuál es mi pequeño lujo diario? Les voy a mostrar mis perfumes de CHOPX porque hasta para ir al superm"
ugc-lifestyle-review-3.mp4,es,yes,ugc-es-retail-small-business-hook,ugc-es-retail-small-business-hook.mp4,ugc-es-retail-small-business-hook-mobile.mp4,ugc-es-retail-small-business-hook-preview.mp4,ugc-es-retail-small-business-hook-poster.jpg,"ugc, retail, social media hook, promo","Y si tienes tienda, miselánea o véndese de casa, esto es para ti."
ugc-lifestyle-review.mp4,es,yes,ugc-es-fashion-lifestyle-temu-outfit-review,ugc-es-fashion-lifestyle-temu-outfit-review.mp4,ugc-es-fashion-lifestyle-temu-outfit-review-mobile.mp4,ugc-es-fashion-lifestyle-temu-outfit-review-preview.mp4,ugc-es-fashion-lifestyle-temu-outfit-review-poster.jpg,"ugc, fashion lifestyle, product review, social ads","A mí me encanta vestirme lindo, elegante, sofisticada, es muy caro, pero Temu me solucionó la vida. En contrasto a office hermosos, se los voy a mostrar y cuando les diga cuánto pa"
